Name,When to Meet,Where to Meet,Event name,Topic,Event type,Date,Time Start,Time Finish
Gerfried Stocker,"THU 04.09, 11:00 – 11:10","First Floor, Conference Hall",Archipelago of Possible Futures—From AI Wars to Dual Futures: Reclaiming Democracy in the Face of Authoritarian Tech,Welcome & Opening Remarks,LECTURE & TALK,04.09,11:00,11:10
Veronika Liebl,"SUN 07.09, 10:30 – 12:00","First Floor, JKU Square - LIT Exhibition",POSTCITY,Kepler Salon Extra Extern,EXPERIENCE,07.09,10:30,12:00
Christopher Lindinger,,,,,,,,
Vanessa Hannesschläger,"SUN 07.09, 11:00 – 14:30","First Floor, Conference Hall",Earth Is a Sensorium,Studiotopia Collective Event,LECTURE & TALK,07.09,11:00,14:30
Vanessa Hannesschläger,"THU 04.09, 15:30 – 17:00","First Floor, Town Hall",,Town Hall Meeting: Citizen Science,NETWORKING EVENT,04.09,15:30,17:00
Vanessa Hannesschläger,"SAT 06.09, 16:55 – 17:00","First Floor, Education Stage","New Pathways: AI, Art, and Collaboration in Citizen Science: #AI, Art, Policy",Closing Remarks,LECTURE & TALK,06.09,16:55,17:00
Vanessa Hannesschläger,"FRI 05.09, 15:30 – 17:00","First Floor, Town Hall",,Town Hall Meeting: Theater & Digital Media,NETWORKING EVENT,05.09,15:30,17:00
Tania Singer,"WED 03.09, 12:35 – 13:05","First Floor, Conference Hall","Theme Symposium 2025: Panic in a Global Context: Neuroscience, Culture, and Crisis","No panic! How to develop resilience and train
the social brain",LECTURE & TALK,03.09,12:35,13:05
Marcello Ienca,"WED 03.09, 13:05 – 13:30","First Floor, Conference Hall","Theme Symposium 2025: Panic in a Global Context: Neuroscience, Culture, and Crisis","Too late to panic? Neuroethical implications
of neurotechnologies",LECTURE & TALK,03.09,13:05,13:30
Sarah Ciston,"WED 03.09, 17:30 – 18:00","Ars Electronica Center, Level 0",DEEP SPACE 8K,Inside the AI War Cloud,PERFORMANCE,03.09,17:30,18:00
Sarah Ciston,"THU 04.09, 11:10 – 13:15","First Floor, Conference Hall",Archipelago of Possible Futures—From AI Wars to Dual Futures: Reclaiming Democracy in the Face of Authoritarian Tech,AI War Cloud and the new Architecture of Power,LECTURE & TALK,04.09,11:10,13:15
Carly Whitefield,,,,,,,,
Afroditi Panagiotakou,,,,,,,,
Marleen Stikker,,,,,,,,
Peer Perez Øian,,,,,,,,
Lukas Joshua Baueregger,"SUN 07.09, 10:30 – 11:30","First Floor, WE GUIDE YOU Meeting Point",POSTCITY,Ekklesia,EXPERIENCE,07.09,10:30,11:30
Lukas Joshua Baueregger,"SUN 07.09, 12:00 – 13:00","First Floor, WE GUIDE YOU Meeting Point",POSTCITY,Ekklesia,EXPERIENCE,07.09,12:00,13:00
Lukas Joshua Baueregger,"SUN 07.09, 14:30 – 15:30","First Floor, WE GUIDE YOU Meeting Point",POSTCITY,Ekklesia,EXPERIENCE,07.09,14:30,15:30
Lukas Joshua Baueregger,"THU 04.09, 10:30 – 11:30","First Floor, WE GUIDE YOU Meeting Point",POSTCITY,Ekklesia,EXPERIENCE,04.09,10:30,11:30
Lukas Joshua Baueregger,"THU 04.09, 12:00 – 13:00","First Floor, WE GUIDE YOU Meeting Point",POSTCITY,Ekklesia,EXPERIENCE,04.09,12:00,13:00
Lukas Joshua Baueregger,"THU 04.09, 15:30 – 16:30","First Floor, WE GUIDE YOU Meeting Point",POSTCITY,Ekklesia,EXPERIENCE,04.09,15:30,16:30
Lukas Joshua Baueregger,"THU 04.09, 17:00 – 18:00","First Floor, WE GUIDE YOU Meeting Point",POSTCITY,Ekklesia,EXPERIENCE,04.09,17:00,18:00
Lukas Joshua Baueregger,"FRI 05.09, 10:30 – 11:30","First Floor, WE GUIDE YOU Meeting Point",POSTCITY,Ekklesia,EXPERIENCE,05.09,10:30,11:30
Lukas Joshua Baueregger,"FRI 05.09, 12:00 – 13:00","First Floor, WE GUIDE YOU Meeting Point",POSTCITY,Ekklesia,EXPERIENCE,05.09,12:00,13:00
Lukas Joshua Baueregger,"FRI 05.09, 15:30 – 16:30","First Floor, WE GUIDE YOU Meeting Point",POSTCITY,Ekklesia,EXPERIENCE,05.09,15:30,16:30
Lukas Joshua Baueregger,"FRI 05.09, 17:00 – 18:00","First Floor, WE GUIDE YOU Meeting Point",POSTCITY,Ekklesia,EXPERIENCE,05.09,17:00,18:00
Lukas Joshua Baueregger,"SAT 06.09, 10:30 – 11:30","First Floor, WE GUIDE YOU Meeting Point",POSTCITY,Ekklesia,EXPERIENCE,06.09,10:30,11:30
Lukas Joshua Baueregger,"SAT 06.09, 12:00 – 13:00","First Floor, WE GUIDE YOU Meeting Point",POSTCITY,Ekklesia,EXPERIENCE,06.09,12:00,13:00
Lukas Joshua Baueregger,"SAT 06.09, 15:30 – 16:30","First Floor, WE GUIDE YOU Meeting Point",POSTCITY,Ekklesia,EXPERIENCE,06.09,15:30,16:30
Lukas Joshua Baueregger,"SAT 06.09, 17:00 – 18:00","First Floor, WE GUIDE YOU Meeting Point",POSTCITY,Ekklesia,EXPERIENCE,06.09,17:00,18:00
Lukas Joshua Baueregger,"WED 03.09, 13:30 – 14:30","First Floor, WE GUIDE YOU Meeting Point",POSTCITY,Ekklesia,EXPERIENCE,03.09,13:30,14:30
Lukas Joshua Baueregger,"WED 03.09, 15:00 – 16:00","First Floor, WE GUIDE YOU Meeting Point",POSTCITY,Ekklesia,EXPERIENCE,03.09,15:00,16:00
Lukas Joshua Baueregger,"WED 03.09, 16:30 – 17:30","First Floor, WE GUIDE YOU Meeting Point",POSTCITY,Ekklesia,EXPERIENCE,03.09,16:30,17:30
Victorine van Alphen,"THU 04.09, 12:30 – 13:45","First Floor, The Oracle",,The Oracle: Ritual for the Future,PERFORMANCE,04.09,12:30,13:45
Victorine van Alphen,"THU 04.09, 15:15 – 16:30","First Floor, The Oracle",,The Oracle: Ritual for the Future,PERFORMANCE,04.09,15:15,16:30
Victorine van Alphen,"THU 04.09, 17:15 – 18:30","First Floor, The Oracle",,The Oracle: Ritual for the Future,PERFORMANCE,04.09,17:15,18:30
Victorine van Alphen,"SUN 07.09, 10:15 – 11:30","First Floor, The Oracle",,The Oracle: Ritual for the Future,PERFORMANCE,07.09,10:15,11:30
Victorine van Alphen,"SUN 07.09, 12:15 – 13:30","First Floor, The Oracle",,The Oracle: Ritual for the Future,PERFORMANCE,07.09,12:15,13:30
Victorine van Alphen,"SUN 07.09, 14:00 – 15:15","First Floor, The Oracle",,The Oracle: Ritual for the Future,PERFORMANCE,07.09,14:00,15:15
Victorine van Alphen,"FRI 05.09, 12:30 – 13:45","First Floor, The Oracle",,The Oracle: Ritual for the Future,PERFORMANCE,05.09,12:30,13:45
Victorine van Alphen,"FRI 05.09, 15:15 – 16:30","First Floor, The Oracle",,The Oracle: Ritual for the Future,PERFORMANCE,05.09,15:15,16:30
Victorine van Alphen,"FRI 05.09, 17:15 – 18:30","First Floor, The Oracle",,The Oracle: Ritual for the Future,PERFORMANCE,05.09,17:15,18:30
Victorine van Alphen,"SAT 06.09, 10:15 – 11:30","First Floor, The Oracle",,The Oracle: Ritual for the Future,PERFORMANCE,06.09,10:15,11:30
Victorine van Alphen,"SAT 06.09, 12:15 – 13:30","First Floor, The Oracle",,The Oracle: Ritual for the Future,PERFORMANCE,06.09,12:15,13:30
Victorine van Alphen,"SAT 06.09, 17:15 – 18:30","First Floor, The Oracle",,The Oracle: Ritual for the Future,PERFORMANCE,06.09,17:15,18:30
Victorine van Alphen,"SAT 06.09, 13:30 – 15:20","First Floor, Conference Hall","STAGED REALITIES—A full-day conference program, exploring how AI is re-shaping theater","ACT II – NEW TECH, NEW STAGE",LECTURE & TALK,06.09,13:30,15:20
Silke Grabinger,"SUN 07.09, 15:00 – 15:45","Ars Electronica Center, Level 0",DEEP SPACE 8K,SPOTSHOTBEUYS,EVENT,07.09,15:00,15:45
Silke Grabinger,"SAT 06.09, 13:30 – 15:20","First Floor, Conference Hall","STAGED REALITIES—A full-day conference program, exploring how AI is re-shaping theater","ACT II – NEW TECH, NEW STAGE",LECTURE & TALK,06.09,13:30,15:20
Silke Grabinger,"THU 04.09, 12:30 – 13:30","Ground Floor, Exhibition Area",,AREYOUARE,PERFORMANCE,04.09,12:30,13:30
Silke Grabinger,"FRI 05.09, 12:30 – 13:30","Ground Floor, Exhibition Area",,AREYOUARE,PERFORMANCE,05.09,12:30,13:30
Silke Grabinger,"SAT 06.09, 17:00 – 18:00","Ground Floor, Exhibition Area",,AREYOUARE,PERFORMANCE,06.09,17:00,18:00
Oxi Koskelainen,"THU 04.09, 12:30 – 13:30",Meeting Point: AEC Maindeck / Entrance Futurelab,,White Hunger,PERFORMANCE,04.09,12:30,13:30
Oxi Koskelainen,"THU 04.09, 14:00 – 15:00",Meeting Point: AEC Maindeck / Entrance Futurelab,,White Hunger,PERFORMANCE,04.09,14:00,15:00
Oxi Koskelainen,"THU 04.09, 16:00 – 17:00",Meeting Point: AEC Maindeck / Entrance Futurelab,,White Hunger,PERFORMANCE,04.09,16:00,17:00
Oxi Koskelainen,"THU 04.09, 18:00 – 19:00",Meeting Point: AEC Maindeck / Entrance Futurelab,,White Hunger,PERFORMANCE,04.09,18:00,19:00
Oxi Koskelainen,"FRI 05.09, 12:00 – 13:00",Meeting Point: AEC Maindeck / Entrance Futurelab,,White Hunger,PERFORMANCE,05.09,12:00,13:00
Oxi Koskelainen,"FRI 05.09, 14:00 – 15:00",Meeting Point: AEC Maindeck / Entrance Futurelab,,White Hunger,PERFORMANCE,05.09,14:00,15:00
Oxi Koskelainen,"FRI 05.09, 16:00 – 17:00",Meeting Point: AEC Maindeck / Entrance Futurelab,,White Hunger,PERFORMANCE,05.09,16:00,17:00
Oxi Koskelainen,"FRI 05.09, 18:00 – 19:00",Meeting Point: AEC Maindeck / Entrance Futurelab,,White Hunger,PERFORMANCE,05.09,18:00,19:00
Oxi Koskelainen,"SAT 06.09, 12:00 – 13:00",Meeting Point: AEC Maindeck / Entrance Futurelab,,White Hunger,PERFORMANCE,06.09,12:00,13:00
Oxi Koskelainen,"SAT 06.09, 14:00 – 15:00",Meeting Point: AEC Maindeck / Entrance Futurelab,,White Hunger,PERFORMANCE,06.09,14:00,15:00
Oxi Koskelainen,"SAT 06.09, 16:00 – 17:00",Meeting Point: AEC Maindeck / Entrance Futurelab,,White Hunger,PERFORMANCE,06.09,16:00,17:00
Marc Da Costa,,,,,,,,
Matthew Niederhauser,,,,,,,,
Heather Knight,"SAT 06.09, 11:30 – 12:45","First Floor, Conference Hall","STAGED REALITIES—A full-day conference program, exploring how AI is re-shaping theater","ACT I – EXPLORING EXPANSION 
",LECTURE & TALK,06.09,11:30,12:45
AC Coppens,"SAT 06.09, 11:00 – 11:30","First Floor, Conference Hall","STAGED REALITIES—A full-day conference program, exploring how AI is re-shaping theater",PROLOGUE,LECTURE & TALK,06.09,11:00,11:30
AC Coppens,"SAT 06.09, 13:30 – 15:20","First Floor, Conference Hall","STAGED REALITIES—A full-day conference program, exploring how AI is re-shaping theater","ACT II – NEW TECH, NEW STAGE",LECTURE & TALK,06.09,13:30,15:20
Tawny Schlieski,"SAT 06.09, 11:00 – 11:30","First Floor, Conference Hall","STAGED REALITIES—A full-day conference program, exploring how AI is re-shaping theater",PROLOGUE,LECTURE & TALK,06.09,11:00,11:30
Stefan Kaegi,,,,,,,,
Marcus Lobbes,"SAT 06.09, 13:30 – 15:20","First Floor, Conference Hall","STAGED REALITIES—A full-day conference program, exploring how AI is re-shaping theater","ACT II – NEW TECH, NEW STAGE",LECTURE & TALK,06.09,13:30,15:20
Matthieu Lorrain,"SAT 06.09, 13:30 – 15:20","First Floor, Conference Hall","STAGED REALITIES—A full-day conference program, exploring how AI is re-shaping theater","ACT II – NEW TECH, NEW STAGE",LECTURE & TALK,06.09,13:30,15:20
Nils Corte,"SAT 06.09, 13:30 – 15:20","First Floor, Conference Hall","STAGED REALITIES—A full-day conference program, exploring how AI is re-shaping theater","ACT II – NEW TECH, NEW STAGE",LECTURE & TALK,06.09,13:30,15:20
Michael Rau,"SAT 06.09, 13:30 – 15:20","First Floor, Conference Hall","STAGED REALITIES—A full-day conference program, exploring how AI is re-shaping theater","ACT II – NEW TECH, NEW STAGE",LECTURE & TALK,06.09,13:30,15:20
Ali Nikrang,"WED 03.09, 21:00 – 23:30",St. Mary’s Cathedral,Ars Electronica Opening,Walzersymphonie,CONCERT,03.09,21:00,23:30
Ali Nikrang,"WED 03.09, 16:00 – 17:30","Level 3, Sky Loft",EXPANDED 2025 – Conference on Animation and Interactive Art,Paper Session #2: Interactive Experiences,LECTURE & TALK,03.09,16:00,17:30
Ali Nikrang,"THU 04.09, 14:00 – 15:00","First Floor, Ars Electronica Lounge",,Co-Creating Music with AI,PANEL DISCUSSION,04.09,14:00,15:00
Ali Nikrang,"SAT 06.09, 13:30 – 15:20","First Floor, Conference Hall","STAGED REALITIES—A full-day conference program, exploring how AI is re-shaping theater","ACT II – NEW TECH, NEW STAGE",LECTURE & TALK,06.09,13:30,15:20
Pablo Palacio,"THU 04.09, 11:00 – 13:00","First Floor, Workshop Space",,AI TOOLBOX–PREMIERE PROJECT,WORKSHOP,04.09,11:00,13:00
Magda Romanska,"SAT 06.09, 15:30 – 16:30","First Floor, Conference Hall","STAGED REALITIES—A full-day conference program, exploring how AI is re-shaping theater",ACT III – FUTURES IN PLAY,LECTURE & TALK,06.09,15:30,16:30
Nora Krahl,"SAT 06.09, 15:30 – 16:30","First Floor, Conference Hall","STAGED REALITIES—A full-day conference program, exploring how AI is re-shaping theater",ACT III – FUTURES IN PLAY,LECTURE & TALK,06.09,15:30,16:30
Hermann Schneider,"SAT 06.09, 15:30 – 16:30","First Floor, Conference Hall","STAGED REALITIES—A full-day conference program, exploring how AI is re-shaping theater",ACT III – FUTURES IN PLAY,LECTURE & TALK,06.09,15:30,16:30
Paulien Geerlings,"SAT 06.09, 15:30 – 16:30","First Floor, Conference Hall","STAGED REALITIES—A full-day conference program, exploring how AI is re-shaping theater",ACT III – FUTURES IN PLAY,LECTURE & TALK,06.09,15:30,16:30
Sarah Ellis,"SAT 06.09, 16:30 – 17:00","First Floor, Conference Hall","STAGED REALITIES—A full-day conference program, exploring how AI is re-shaping theater",EPILOGUE,LECTURE & TALK,06.09,16:30,17:00
René Mayrhofer,"THU 04.09, 17:30 – 18:00","First Floor, JKU Square - LIT Exhibition",,President of Austria meets Big Data Execs,EXPERIENCE,04.09,17:30,18:00
René Mayrhofer,"FRI 05.09, 17:30 – 18:00","First Floor, JKU Square - LIT Exhibition",,President of Austria meets Big Data Execs,EXPERIENCE,05.09,17:30,18:00
Kristina Tica,,,,,,,,
Andreas Kaindlstorfer,"SUN 07.09, 10:30 – 12:00","First Floor, JKU Square - LIT Exhibition",,Kepler Salon Extra Extern,EXPERIENCE,07.09,10:30,12:00
Andreas Kaindlstorfer,"FRI 05.09, 14:55 – 15:05","First Floor, Conference Hall",Theme Symposium 2025: Art and Culture in Times of Uncertainty: From Artistic Practice to Social Action,The Dream In Experience: Sleep Culture & Health,LECTURE & TALK,05.09,14:55,15:05
Daniel Herrmann,"THU 04.09, 14:00 – 15:00","Ars Electronica Center, Level 0",DEEP SPACE 8K,[Re]Curated,EVENT,04.09,14:00,15:00
Jiabao Li,"THU 04.09, 20:00 – 22:30","Ars Electronica Center, Level 0",DEEP SPACE 8K,Deep Stage,PERFORMANCE,04.09,20:00,22:30
Jiabao Li,"SAT 06.09, 14:00 – 15:30","First Floor, Features Exhibition, Ecocentric Future Lab",,Consume Our Consumption,EXPERIENCE,06.09,14:00,15:30
Manu Prakash,"THU 04.09, 20:00 – 22:30","Ars Electronica Center, Level 0",DEEP SPACE 8K,Deep Stage,PERFORMANCE,04.09,20:00,22:30
Roland Haring,"SAT 06.09, 11:00 – 12:00","First Floor, Ars Electronica Lounge",,Deep Space in Dialog,PANEL DISCUSSION,06.09,11:00,12:00
Christoph Kremer,"SAT 06.09, 11:00 – 12:00","First Floor, Ars Electronica Lounge",,Deep Space in Dialog,PANEL DISCUSSION,06.09,11:00,12:00
Michael Mondria,"SAT 06.09, 11:00 – 12:00","First Floor, Ars Electronica Lounge",,Deep Space in Dialog,PANEL DISCUSSION,06.09,11:00,12:00
Daniel Oliver Moser,"SAT 06.09, 18:00 – 18:45","Ars Electronica Center, Level 0",DEEP SPACE 8K,CHROMA,CONCERT,06.09,18:00,18:45
Konstantin Semilakovs,"SAT 06.09, 18:00 – 18:45","Ars Electronica Center, Level 0",DEEP SPACE 8K,CHROMA,CONCERT,06.09,18:00,18:45
Antonela Tommasel,,,,,,,,
Markus Schedl,,,,,,,,
Andreas Strauss,"FRI 05.09, 11:00 – 13:00","Level 3, Sky Loft",EXPANDED 2025 – Conference on Animation and Interactive Art,Art & Industry,LECTURE & TALK,05.09,11:00,13:00
Reinhard Gupfinger,,,,,,,,
Philipp Hofer,,,,,,,,
Martin Reiter,,,,,,,,
Florian Nimmervoll,,,,,,,,
Patricia Stark,"SUN 07.09, 12:00 – 13:00","First Floor, JKU Square - LIT Exhibition",,Meet the Scientist,NETWORKING EVENT,07.09,12:00,13:00
Patricia Stark,"SUN 07.09, 16:00 – 17:00","First Floor, JKU Square - LIT Exhibition",,Meet the Scientist,NETWORKING EVENT,07.09,16:00,17:00
Patricia Stark,"SAT 06.09, 11:00 – 12:00","First Floor, JKU Square - LIT Exhibition",,Meet the Scientist,NETWORKING EVENT,06.09,11:00,12:00
Patricia Stark,"SAT 06.09, 16:00 – 17:00","First Floor, JKU Square - LIT Exhibition",,Meet the Scientist,NETWORKING EVENT,06.09,16:00,17:00
Patricia Stark,"SAT 06.09, 12:00 – 13:30","First Floor, JKU Square - LIT Exhibition",,Kepler Awards for Science Communication 2025,EXPERIENCE,06.09,12:00,13:30
Patricia Stark,"FRI 05.09, 16:00 – 17:00","First Floor, JKU Square - LIT Exhibition",,Meet the Scientist,NETWORKING EVENT,05.09,16:00,17:00
Patricia Stark,"FRI 05.09, 14:25 – 14:55","First Floor, Conference Hall",Theme Symposium 2025: Art and Culture in Times of Uncertainty: From Artistic Practice to Social Action,Medical Literacy through Art,PANEL DISCUSSION,05.09,14:25,14:55
Patricia Stark,"FRI 05.09, 15:05 – 15:15","FRI 05.09, 16:00 – 17:00",Theme Symposium 2025: Art and Culture in Times of Uncertainty: From Artistic Practice to Social Action,Impact Initiative: Transforming Medicine through AI and Art,LECTURE & TALK,05.09,15:05,15:15
Patricia Stark,"WED 03.09, 16:00 – 17:00","First Floor, JKU Square - LIT Exhibition",,Meet the Scientist,NETWORKING EVENT,03.09,16:00,17:00
Patricia Stark,"WED 03.09, 17:00 – 18:00","First Floor, JKU Square - LIT Exhibition",,Transforming Medicine through AI and Art,LECTURE & TALK,03.09,17:00,18:00
Patricia Stark,"THU 04.09, 16:00 – 17:00","First Floor, JKU Square - LIT Exhibition",,Meet the Scientist,NETWORKING EVENT,04.09,16:00,17:00
Gregor Pechmann,"SUN 07.09, 10:30 – 12:00","First Floor, JKU Square - LIT Exhibition",,Kepler Salon Extra Extern,EXPERIENCE,07.09,10:30,12:00
Gregor Pechmann,"SUN 07.09, 12:00 – 13:00","First Floor, JKU Square - LIT Exhibition",,Meet the Scientist,NETWORKING EVENT,07.09,12:00,13:00
Gregor Pechmann,"SUN 07.09, 16:00 – 17:00","First Floor, JKU Square - LIT Exhibition",,Meet the Scientist,NETWORKING EVENT,07.09,16:00,17:00
Gregor Pechmann,"SAT 06.09, 11:00 – 12:00","First Floor, JKU Square - LIT Exhibition",,Meet the Scientist,NETWORKING EVENT,06.09,11:00,12:00
Gregor Pechmann,"SAT 06.09, 16:00 – 17:00","First Floor, JKU Square - LIT Exhibition",,Meet the Scientist,NETWORKING EVENT,06.09,16:00,17:00
Gregor Pechmann,"SAT 06.09, 12:00 – 13:30","First Floor, JKU Square - LIT Exhibition",,Kepler Awards for Science Communication 2025,EXPERIENCE,06.09,12:00,13:30
Gregor Pechmann,"FRI 05.09, 16:00 – 17:00","First Floor, JKU Square - LIT Exhibition",,Meet the Scientist,NETWORKING EVENT,05.09,16:00,17:00
Gregor Pechmann,"WED 03.09, 16:00 – 17:00","First Floor, JKU Square - LIT Exhibition",,Meet the Scientist,NETWORKING EVENT,03.09,16:00,17:00
Gregor Pechmann,"SAT 06.09, 17:00 – 18:00","First Floor, JKU Square - LIT Exhibition",,NO PANIC Science Slam,PERFORMANCE,06.09,17:00,18:00
Gregor Pechmann,"FRI 05.09, 13:00 – 14:30","First Floor, WE GUIDE YOU Meeting Point",,Expert Tour: LIT Exhibition,GUIDED TOUR,05.09,13:00,14:30
Kerstin Pell-Langaditis,"SUN 07.09, 12:00 – 13:00","First Floor, JKU Square - LIT Exhibition",,Meet the Scientist,NETWORKING EVENT,07.09,12:00,13:00
Kerstin Pell-Langaditis,"SUN 07.09, 16:00 – 17:00","First Floor, JKU Square - LIT Exhibition",,Meet the Scientist,NETWORKING EVENT,07.09,16:00,17:00
Kerstin Pell-Langaditis,"SAT 06.09, 11:00 – 12:00","First Floor, JKU Square - LIT Exhibition",,Meet the Scientist,NETWORKING EVENT,06.09,11:00,12:00
Kerstin Pell-Langaditis,"SAT 06.09, 16:00 – 17:00","First Floor, JKU Square - LIT Exhibition",,Meet the Scientist,NETWORKING EVENT,06.09,16:00,17:00
Kerstin Pell-Langaditis,"SAT 06.09, 12:00 – 13:30","First Floor, JKU Square - LIT Exhibition",,Kepler Awards for Science Communication 2025,EXPERIENCE,06.09,12:00,13:30
Kerstin Pell-Langaditis,"FRI 05.09, 16:00 – 17:00","First Floor, JKU Square - LIT Exhibition",,Meet the Scientist,NETWORKING EVENT,05.09,16:00,17:00
Kerstin Pell-Langaditis,"WED 03.09, 16:00 – 17:00","First Floor, JKU Square - LIT Exhibition",,Meet the Scientist,NETWORKING EVENT,03.09,16:00,17:00
